运输方式,路线,价格,环比,日期,价格数值
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/5/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/5/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/5/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/4/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/4/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/4/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/4/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/3/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/3/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/3/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/3/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/2/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/2/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/2/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/2/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/1/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/1/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/1/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2023/1/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/12/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/12/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/12/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/11/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/11/16,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/11/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/11/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/10/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/10/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/10/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/10/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/9/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/9/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/9/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/8/31,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/8/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/8/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/8/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/7/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/7/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/7/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/7/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/6/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/6/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/6/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/6/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/6/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/5/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/5/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/5/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/5/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/4/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/4/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/4/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/2/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/2/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/2/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/1/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2022/1/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/9/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/8/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/8/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/8/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/7/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/7/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/7/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/7/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/6/30,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/6/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/6/16,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/6/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/6/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/5/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/5/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/5/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/5/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/4/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/4/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/4/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/4/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/3/31,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/3/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/3/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/3/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/3/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/2/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/2/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/2/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/2/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/1/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/1/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/1/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2021/1/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/12/30,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/12/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/12/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/12/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/12/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/11/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/11/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/11/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/11/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/10/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/10/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/10/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/10/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/9/30,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/9/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/9/16,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/9/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/9/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/8/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/8/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/8/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/8/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/7/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/6/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/6/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/6/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/6/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/5/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/5/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/5/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/5/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/4/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/4/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/4/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/4/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/4/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/3/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/3/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/3/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/3/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/2/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/2/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/2/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/2/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/1/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/1/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/1/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/1/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2020/1/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/12/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/12/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/12/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/12/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/11/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/11/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/11/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/11/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/10/30,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/10/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/10/16,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/10/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/10/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/9/25,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/9/18,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/9/11,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/9/4,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/8/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/8/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/8/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/8/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/7/31,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/7/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/7/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/7/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/7/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/6/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/6/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/6/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/6/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/5/29,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/5/22,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/5/15,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/5/8,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/5/1,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/4/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/4/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/4/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/4/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/3/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/3/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/3/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/3/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/2/27,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/2/20,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/2/13,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/2/6,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/1/30,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/1/23,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/1/9,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2019/1/2,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/12/26,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/12/19,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/12/12,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/12/5,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/11/28,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/11/21,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/11/14,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/11/7,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/31,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/24,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/17,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/10,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/3,3201.0
整车运输-17.5,杭州-南京,3201元/整车,0.44%,2018/10/3,3201.0
整车运输-17.5,杭州-合肥,3201元/整车,0.44%,2018/10/3,3201.0
整车运输-17.5,杭州-合肥,4572元/整车,0.44%,2018/10/3,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2018/10/3,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/3/6,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/2/28,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/2/21,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/2/14,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/2/7,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/1/31,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/1/24,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/1/17,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/1/10,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2024/1/3,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/12/27,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/12/20,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/12/13,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/12/6,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/11/29,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/11/15,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/11/8,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/11/1,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/10/25,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/10/18,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/10/11,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/10/4,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/9/27,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/9/20,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/9/13,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/9/6,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/8/30,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/8/23,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/8/16,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/8/9,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/8/2,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/7/26,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/7/19,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/7/12,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/7/5,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/6/28,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/6/21,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/6/7,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/5/31,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/5/24,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/5/17,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/5/10,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/5/3,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/4/26,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/4/19,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/4/12,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/4/5,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/3/29,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/3/15,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/3/8,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/3/1,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/2/22,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/2/15,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/2/8,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/2/1,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/1/25,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/1/18,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/1/11,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2023/1/4,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/12/28,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/12/14,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/12/7,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/11/23,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/11/16,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/11/9,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/11/2,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/10/26,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/10/19,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/10/12,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/10/5,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/9/28,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/9/21,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/9/7,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/8/31,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/8/24,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/8/17,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/8/3,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/7/27,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/7/20,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/7/13,4572.0
整车运输-17.5,杭州-合肥,4572元/整车,-0.41%,2022/7/6,4572.0
